name,region,municipality,address,latitude,longitude,power_station,connector,curret,power_charger
ELECTROLINERA SHELL LOS TRAPENSES - 1,Metropolitana,Lo Barnechea,Camino Los Trapenses 3385,-3.334.485,-7.054.589,50,Conector Tipo 2,AC,43
ELECTROLINERA SHELL RIO MAIPO PONIENTE - 1,Metropolitana,San Bernardo,Autopista Ruta 5 Sur Kilometro 29 29,-3.368.104,-7.072.634,50,Conector Tipo 2,AC,43
ELECTROLINERA SHELL RIO MAIPO PONIENTE - 1,Metropolitana,San Bernardo,Autopista Ruta 5 Sur Kilometro 29 29,-3.368.104,-7.072.634,50,CHAdeMO,DC,50
ELECTROLINERA SHELL RIO MAIPO PONIENTE - 1,Metropolitana,San Bernardo,Autopista Ruta 5 Sur Kilometro 29 29,-3.368.104,-7.072.634,50,Combinado Tipo 2,DC,50
ELECTROLINERA SHELL SAN FRANCISCO DE MOSTAZAL - 1,Libertador Bernardo OHiggins,Mostazal,PANAMERICANA SUR KM 69,1 N/A,-3.397.138,-7.070.762,67,CHAdeMO,DC,50
ELECTROLINERA SHELL SAN FRANCISCO DE MOSTAZAL - 1,Libertador Bernardo OHiggins,Mostazal,PANAMERICANA SUR KM 69,1 N/A,-3.397.138,-7.070.762,67,Combinado Tipo 2,DC,50
ELECTROLINERA SHELL SAN FRANCISCO DE MOSTAZAL - 1,Libertador Bernardo OHiggins,Mostazal,PANAMERICANA SUR KM 69,1 N/A,-3.397.138,-7.070.762,67,Conector Tipo 2,AC,43
ELECTROLINERA SHELL TENO - 1,Maule,Teno,PANAMERICANA SUR 175,-3.487.642,-7.114.431,50,Conector Tipo 2,AC,43
ELECTROLINERA SHELL TENO - 1,Maule,Teno,PANAMERICANA SUR 175,-3.487.642,-7.114.431,50,CHAdeMO,DC,50
ELECTROLINERA SHELL TENO - 1,Maule,Teno,PANAMERICANA SUR 175,-3.487.642,-7.114.431,50,Combinado Tipo 2,DC,50
ENEX SHELL HIJUELAS - 1,Valparaíso,Hijuelas,panamericana norte km 108,-3.279.829,-7.115.876,50,CHAdeMO,DC,50
ENEX SHELL HIJUELAS - 1,Valparaíso,Hijuelas,panamericana norte km 108,-3.279.829,-7.115.876,50,Combinado Tipo 2,DC,50
Inst. Elec. Cargador de Vehiculos Eléctricos E/S M - 1,Metropolitana,San Bernardo,AVENIDA PRESIDENTE JORGE ALESSANDRI 26517,-3.368.606,-7.072.606,98,Conector Tipo 2,AC,43
Inst. Elec. Cargador de Vehiculos Eléctricos E/S M - 1,Metropolitana,San Bernardo,AVENIDA PRESIDENTE JORGE ALESSANDRI 26517,-3.368.606,-7.072.606,98,Combinado Tipo 2,DC,50
Inst. Elec. Cargador de Vehiculos Eléctricos E/S M - 1,Metropolitana,San Bernardo,AVENIDA PRESIDENTE JORGE ALESSANDRI 26517,-3.368.606,-7.072.606,98,CHAdeMO,DC,50
Instalacion electrica Electrolinera - 1,Maule,San Rafael,RUTA 5 SUR KM 239.5 s/n,-3.533.077,-7.155.273,98,CHAdeMO,DC,50
Instalacion electrica Electrolinera - 1,Maule,San Rafael,RUTA 5 SUR KM 239.5 s/n,-3.533.077,-7.155.273,98,Combinado Tipo 2,DC,50
Instalacion electrica Electrolinera - 1,Maule,San Rafael,RUTA 5 SUR KM 239.5 s/n,-3.533.077,-7.155.273,98,Conector Tipo 2,AC,43
SAVE ESTACION DE SERVICIO ENEX CONCON - 1,Valparaíso,Concón,San Jose Maria Escriva de Balaguer 861,-329.507,-715.377,98,Conector Tipo 2,AC,43
SAVE ESTACION DE SERVICIO ENEX CONCON - 1,Valparaíso,Concón,San Jose Maria Escriva de Balaguer 861,-329.507,-715.377,98,CHAdeMO,DC,50
SAVE ESTACION DE SERVICIO ENEX CONCON - 1,Valparaíso,Concón,San Jose Maria Escriva de Balaguer 861,-329.507,-715.377,98,Combinado Tipo 2,DC,50
Shell Autopista Central - 1,Metropolitana,San Bernardo,Ruta 5 sur KM 16.4 s/n,-3.358.058,-7.071.387,94,Combinado Tipo 2,DC,50
Shell Autopista Central - 1,Metropolitana,San Bernardo,Ruta 5 sur KM 16.4 s/n,-3.358.058,-7.071.387,94,CHAdeMO,DC,50
Shell Autopista Central - 1,Metropolitana,San Bernardo,Ruta 5 sur KM 16.4 s/n,-3.358.058,-7.071.387,94,Conector Tipo 2,AC,43
Cargador Público ENGIE,Metropolitana,Las Condes,Presidente Riesco con Rosario Norte (Av. Pdte. Riesco #5810),-3.340.388,-7.057.396,44,Conector Tipo 2,AC,44
Cargador Público ENGIE,Metropolitana,Las Condes,Presidente Riesco con Rosario Norte (Av. Pdte. Riesco #5810),-3.340.388,-7.057.396,44,Conector Tipo 2,AC,44
Centro de Convenciones Stgo - 1,Metropolitana,Huechuraba,Avenida El Salto 5000,-3.338.515,-7.062.257,6,6,Conector Tipo 1,AC,6,6
Centro de Convenciones Stgo - 1,Metropolitana,Huechuraba,Avenida El Salto 5000,-3.338.515,-7.062.257,6,6,Conector Tipo 2,AC,6,6
Estacionamientos EME - 1,Metropolitana,Las Condes,Isidora Goyenechea 2939,-3.341.422,-7.060.025,3,5,Conector Tipo 1,AC,3,5
Estacionamientos EME - 1,Metropolitana,Las Condes,Isidora Goyenechea 2939,-3.341.422,-7.060.025,3,5,Conector Tipo 2,AC,3,5
Estacionamientos EME - 2,Metropolitana,Las Condes,Isidora Goyenechea 2939,-3.341.422,-7.060.025,3,5,Conector Tipo 1,AC,3,5
Estacionamientos EME - 2,Metropolitana,Las Condes,Isidora Goyenechea 2939,-3.341.422,-7.060.025,3,5,Conector Tipo 2,AC,3,5
Open Kennedy - 1,Metropolitana,Las Condes,Presidente Kennedy 5601,-3.340.118,-7.057.539,14,Conector Tipo 2,AC,7
Open Kennedy - 1,Metropolitana,Las Condes,Presidente Kennedy 5601,-3.340.118,-7.057.539,14,Conector Tipo 2,AC,7
Open Kennedy - 2,Metropolitana,Las Condes,Presidente Kennedy 5601,-3.340.118,-7.057.539,14,Conector Tipo 2,AC,7
Open Kennedy - 2,Metropolitana,Las Condes,Presidente Kennedy 5601,-3.340.118,-7.057.539,14,Conector Tipo 2,AC,7
Open Kennedy - 3,Metropolitana,Las Condes,Presidente Kennedy 5601,-3.340.118,-7.057.539,14,Conector Tipo 2,AC,7
Open Kennedy - 3,Metropolitana,Las Condes,Presidente Kennedy 5601,-3.340.118,-7.057.539,14,Conector Tipo 2,AC,7
Hotel Lago Grey - 1,Magallanes y de la Antártica Chilena,Torres del Paine,Sector Lago Grey S/N,-5.112.257,-7.311.596,7,4,Conector Tipo 1,AC,7,4
Hotel Lago Grey - 2,Magallanes y de la Antártica Chilena,Torres del Paine,Sector Lago Grey S/N,-5.112.257,-7.311.596,7,4,Conector Tipo 1,AC,7,4
Hotel Mandarin Oriental ex Hyatt - 1,Metropolitana,Las Condes,Kennedy 4601,-3.340.395,-7.058.281,44,Conector Tipo 2,AC,22
Hotel Mandarin Oriental ex Hyatt - 1,Metropolitana,Las Condes,Kennedy 4601,-3.340.395,-7.058.281,44,Conector Tipo 2,AC,22
Hotel Puyehue - 1,Los Lagos,Puyehue,Ruta internacional 215 Km 76,-4.071.135,-7.232.944,7,4,Conector Tipo 1,AC,7,4
Hotel Puyehue - 2,Los Lagos,Puyehue,Ruta internacional 215 Km 76,-4.071.135,-7.232.944,7,4,Conector Tipo 1,AC,7,4
Tanica Oriente - 1,Metropolitana,Vitacura,Santa Maria 5888,-3.337.966,-7.058.436,14,Conector Tipo 2,AC,7
Tanica Oriente - 1,Metropolitana,Vitacura,Santa Maria 5888,-3.337.966,-7.058.436,14,Conector Tipo 2,AC,7
TOTTUS FACTORIA - 1,Metropolitana,Providencia,AV. FRANCISCO BILBAO 451,-334.418,-7.062.604,22,Conector Tipo 2,AC,22
Edificio Deja Vu,Metropolitana,Providencia,Miguel claro 275,-3.343.204,-7.062.044,7,4,Conector Tipo 2,AC,7,4
Edificio Deja Vu,Metropolitana,Providencia,Miguel claro 275,-3.343.204,-7.062.044,7,4,Conector Tipo 2,AC,7,4
Patio Los Militares - 1,Metropolitana,Las Condes,los militares 4661,-334.121,-7.058.118,7,Conector Tipo 1,AC,7
Patio Los Militares - 2,Metropolitana,Las Condes,los militares 4661,-334.121,-7.058.118,7,Conector Tipo 2,AC,7
