name,region,municipality,address,latitude,longitude,power_station,connector,curret,power_charger
SAVE MALL PLAZA TOBALABA - 1,Metropolitana,Puente Alto,AVENIDA CAMILO HENRIQUEZ 3692,-3.356.926,-7.055.583,7,4,Conector Tipo 2,AC,7,4
SAVE MALL PLAZA TOBALABA - 2,Metropolitana,Puente Alto,AVENIDA CAMILO HENRIQUEZ 3692,-3.356.926,-7.055.583,7,4,Conector Tipo 2,AC,7,4
Electrolinera Mall Plaza Los Angeles - 1,Biobío,Los Ángeles,Valdivia 440,-3.746.803,-7.235.279,7,4,Conector Tipo 2,AC,7,4
Electrolinera Mall Plaza Los Angeles - 2,Biobío,Los Ángeles,Valdivia 440,-3.746.803,-7.235.279,7,4,Conector Tipo 2,AC,7,4
Electrolineras Mall Trebol - 1,Biobío,Concepción,Jorge Alessandri 3177,-3.679.204,-730.656,7,4,Conector Tipo 2,AC,7,4
Electrolineras Mall Trebol - 2,Biobío,Concepción,Jorge Alessandri 3177,-3.679.204,-730.656,7,4,Conector Tipo 2,AC,7,4
Electrolineras Mall Trebol - 3,Biobío,Concepción,Jorge Alessandri 3177,-3.679.204,-730.656,7,4,Conector Tipo 2,AC,7,4
Electrolineras Mall Trebol - 4,Biobío,Concepción,Jorge Alessandri 3177,-3.679.204,-730.656,7,4,Conector Tipo 2,AC,7,4
Cargador Intervial Angostura - 1,Metropolitana,Paine,Panamericana sur 1391,-3.390.666,-7.073.309,55,Conector Tipo 2,AC,43
Cargador Intervial Angostura - 1,Metropolitana,Paine,Panamericana sur 1391,-3.390.666,-7.073.309,55,Combinado Tipo 2,DC,50
Cargador Intervial Angostura - 1,Metropolitana,Paine,Panamericana sur 1391,-3.390.666,-7.073.309,55,CHAdeMO,DC,50
Parking Saba Guardia Vieja - 1,Metropolitana,Providencia,Avenida providencia 2099,-334.213,-7.060.905,7,Conector Tipo 2,AC,7
Parking Saba Guardia Vieja - 2,Metropolitana,Providencia,Avenida providencia 2099,-334.213,-7.060.905,7,Conector Tipo 2,AC,7
Parking Saba Guardia Vieja - 3,Metropolitana,Providencia,Avenida providencia 2099,-334.213,-7.060.905,7,Conector Tipo 2,AC,7
Parking Saba Marchant Pereira - 1,Metropolitana,Providencia,Avenida providencia 1909,-3.342.508,-7.061.364,7,Conector Tipo 2,AC,7
Parking Saba Marchant Pereira - 2,Metropolitana,Providencia,Avenida providencia 1909,-3.342.508,-7.061.364,7,Conector Tipo 2,AC,7
Parking Saba Marchant Pereira - 3,Metropolitana,Providencia,Avenida providencia 1909,-3.342.508,-7.061.364,7,Conector Tipo 2,AC,7
Parking Saba Pedro de Valdivia - 1,Metropolitana,Providencia,Avenida providencia 2001,-3.342.361,-7.061.207,7,Conector Tipo 2,AC,7
Parking Saba Pedro de Valdivia - 2,Metropolitana,Providencia,Avenida providencia 2001,-3.342.361,-7.061.207,7,Conector Tipo 2,AC,7
Parking Saba Pedro de Valdivia - 3,Metropolitana,Providencia,Avenida providencia 2001,-3.342.361,-7.061.207,7,Conector Tipo 2,AC,7
Parking Saba Ricardo Lyon - 1,Metropolitana,Providencia,avenida providencia 2203,-3.342.187,-706.098,7,Conector Tipo 2,AC,7
Parking Saba Ricardo Lyon - 2,Metropolitana,Providencia,avenida providencia 2203,-3.342.187,-706.098,7,Conector Tipo 2,AC,7
Parking Saba Ricardo Lyon - 3,Metropolitana,Providencia,avenida providencia 2203,-3.342.187,-706.098,7,Conector Tipo 2,AC,7
Saba Santa Lucia - 1,Metropolitana,Santiago,victoria subercaseaux 400,-3.343.821,-7.064.277,7,Conector Tipo 2,AC,7
Saba Santa Lucia - 2,Metropolitana,Santiago,victoria subercaseaux 400,-3.343.821,-7.064.277,7,Conector Tipo 2,AC,7
Saba Santa Lucia - 3,Metropolitana,Santiago,victoria subercaseaux 400,-3.343.821,-7.064.277,7,Conector Tipo 2,AC,7
Saba Santa Rosa - 1,Metropolitana,Santiago,Santa Rosa 76,-3.344.476,-7.064.557,7,Conector Tipo 2,AC,7
Saba Santa Rosa - 2,Metropolitana,Santiago,Santa Rosa 76,-3.344.476,-7.064.557,7,Conector Tipo 2,AC,7
Saba Santa Rosa - 3,Metropolitana,Santiago,Santa Rosa 76,-3.344.476,-7.064.557,7,Conector Tipo 2,AC,7
Saba Plaza de Armas - 1,Metropolitana,Santiago,21 de mayo 576,-3.343.536,-7.064.991,7,Conector Tipo 2,AC,7
Saba Plaza de Armas - 2,Metropolitana,Santiago,21 de mayo 576,-3.343.536,-7.064.991,7,Conector Tipo 2,AC,7
Saba Plaza de Armas - 3,Metropolitana,Santiago,21 de mayo 576,-3.343.536,-7.064.991,7,Conector Tipo 2,AC,7
CASTRO BNUP SAESA - 1,Los Lagos,Castro,Gamboa 0000,-4.248.181,-7.376.808,44,Conector Tipo 2,AC,22
CASTRO BNUP SAESA - 1,Los Lagos,Castro,Gamboa 0000,-4.248.181,-7.376.808,44,Conector Tipo 2,AC,22
Oficina Comercial Edelaysen,Aysén,Coyhaique,Francisco Bilbao 449,-455.729,-7.207.092,44,Conector Tipo 2,AC,22
Oficina Comercial Edelaysen,Aysén,Coyhaique,Francisco Bilbao 449,-455.729,-7.207.092,44,Conector Tipo 2,AC,22
Oficina Comercial SAESA Osorno,Los Lagos,Osorno,Eleuterio Ramírez 705,-4.057.306,-7.313.868,44,Conector Tipo 2,AC,22
Oficina Comercial SAESA Osorno,Los Lagos,Osorno,Eleuterio Ramírez 705,-4.057.306,-7.313.868,44,Conector Tipo 2,AC,22
Oficina Comercial SAESA Valdivia,Los Ríos,Valdivia,Yungay 646,-3.981.552,-732.483,44,Conector Tipo 2,AC,22
Oficina Comercial SAESA Valdivia,Los Ríos,Valdivia,Yungay 646,-3.981.552,-732.483,44,Conector Tipo 2,AC,22
Proyecto Ancud cargadores SAESA - 1,Los Lagos,Ancud,Libertad 370,-4.186.844,-7.382.918,44,Conector Tipo 2,AC,22
Proyecto Ancud cargadores SAESA - 1,Los Lagos,Ancud,Libertad 370,-4.186.844,-7.382.918,44,Conector Tipo 2,AC,22
Proyecto Aysen cargadores SAESA - 1,Aisén del General Carlos Ibáñez del Campo,Aysén,Bernardo O´Higgins 520,-4.540.607,-726.976,44,Conector Tipo 2,AC,22
Proyecto Aysen cargadores SAESA - 1,Aisén del General Carlos Ibáñez del Campo,Aysén,Bernardo O´Higgins 520,-4.540.607,-726.976,44,Conector Tipo 2,AC,22
Proyecto Loncoche cargadores SAESA - 1,La Araucanía,Loncoche,Ignacio Serrano 340,-3.937.022,-7.262.958,44,Conector Tipo 2,AC,22
Proyecto Loncoche cargadores SAESA - 1,La Araucanía,Loncoche,Ignacio Serrano 340,-3.937.022,-7.262.958,44,Conector Tipo 2,AC,22
Proyecto Paillaco cargadores SAESA - 1,De los Ríos,Paillaco,Arturo Prat 750,-4.007.117,-7.287.336,44,Conector Tipo 2,AC,22
Proyecto Paillaco cargadores SAESA - 1,De los Ríos,Paillaco,Arturo Prat 750,-4.007.117,-7.287.336,44,Conector Tipo 2,AC,22
Proyecto Panguipulli cargadores SAESA - 1,De los Ríos,Panguipulli,Bernardo O´Higgins 780,-3.964.191,-7.233.211,44,Conector Tipo 2,AC,22
Proyecto Panguipulli cargadores SAESA - 1,De los Ríos,Panguipulli,Bernardo O´Higgins 780,-3.964.191,-7.233.211,44,Conector Tipo 2,AC,22
PUYEHUE BNUP SAESA - 1,Los Lagos,Puyehue,Entre Lagos 0000,-4.068.346,-7.260.423,44,Conector Tipo 2,AC,22
PUYEHUE BNUP SAESA - 1,Los Lagos,Puyehue,Entre Lagos 0000,-4.068.346,-7.260.423,44,Conector Tipo 2,AC,22
SAESA Puerto Varas 1 - 1,Los Lagos,Puerto Varas,Del Salvador 219,-4.131.819,-7.298.258,44,Conector Tipo 2,AC,22
SAESA Puerto Varas 1 - 1,Los Lagos,Puerto Varas,Del Salvador 219,-4.131.819,-7.298.258,44,Conector Tipo 2,AC,22
Autoplanet Las Condes - 1,Metropolitana,Las Condes,Avenida Las Condes 10462,-3.338.263,-705.334,7,4,Conector Tipo 2,AC,7,4
Autoplanet Las Condes - 2,Metropolitana,Las Condes,Avenida Las Condes 10462,-3.338.263,-705.334,7,4,Conector Tipo 2,AC,7,4
Autoplanet Lo Barnechea - 1,Metropolitana,Lo Barnechea,avenida raúl labbé 12931,-3.336.654,-7.051.665,7,4,Conector Tipo 2,AC,7,4
Autoplanet Lo Barnechea 2do - 1,Metropolitana,Lo Barnechea,avenida raúl labbé 12931,-3.336.387,-7.051.268,7,4,Conector Tipo 2,AC,7,4
Enel X - Autoplanet Concepcion - 1,Biobío,Concepción,avenida paicavi 1796,-36,81,-7.305.032,7,4,Conector Tipo 2,AC,7,4
Enel X - Autoplanet Concepcion - 2,Biobío,Concepción,avenida paicavi 1796,-36,81,-7.305.032,7,4,Conector Tipo 2,AC,7,4
Enel X - Autoplanet Los Andes - 1,Valparaíso,Los Andes,avenida santa teresa 1279,-328.397,-7.060.871,7,4,Conector Tipo 2,AC,7,4
Enel X - Autoplanet Los Andes - 2,Valparaíso,Los Andes,avenida santa teresa 1279,-328.397,-7.060.871,7,4,Conector Tipo 2,AC,7,4
Enel X- Autoplanet Maipu - 1,Metropolitana,Maipú,camino melipilla 17800,-3.354.954,-7.078.875,7,4,Conector Tipo 2,AC,7,4
Enel X- Autoplanet Maipu - 2,Metropolitana,Maipú,camino melipilla 17800,-3.354.954,-7.078.875,7,4,Conector Tipo 2,AC,7,4
Aeropuerto Concepcion - 1,Biobío,Talcahuano,Presidente Jorge Alessandri Rodriguez 5001,-3.677.725,-7.305.999,44,Conector Tipo 2,AC,22
Aeropuerto Concepcion - 1,Biobío,Talcahuano,Presidente Jorge Alessandri Rodriguez 5001,-3.677.725,-7.305.999,44,Conector Tipo 2,AC,22
Electrolinera-53 - 1,Metropolitana,Providencia,Avenida Francisco Bilbao 1439,-3.343.934,-7.061.451,7,Conector Tipo 1,AC,7
Enel X - UFRO Temuco - 1,La Araucanía,Temuco,Uruguay 1720,-3.874.647,-7.261.764,44,Conector Tipo 2,AC,22
Enel X - UFRO Temuco - 1,La Araucanía,Temuco,Uruguay 1720,-3.874.647,-7.261.764,44,Conector Tipo 2,AC,22
Enel X - UFRO Temuco - 2,La Araucanía,Temuco,Uruguay 1720,-3.874.647,-7.261.764,44,Conector Tipo 2,AC,22
Enel X - UFRO Temuco - 2,La Araucanía,Temuco,Uruguay 1720,-3.874.647,-7.261.764,44,Conector Tipo 2,AC,22
UAI Viña Del Mar - 1,Valparaíso,Vina del Mar,Camino Padre Hurtado 750,-3.301.948,-7.153.027,14,Conector Tipo 2,AC,7
UAI Viña Del Mar - 1,Valparaíso,Vina del Mar,Camino Padre Hurtado 750,-3.301.948,-7.153.027,14,Conector Tipo 2,AC,7
Universidad Adolfo Ibañez - 1,Metropolitana,Penalolén,Diagonal Las Torres 2700,-3.349.013,-7.051.898,44,Conector Tipo 2,AC,22
Universidad Adolfo Ibañez - 1,Metropolitana,Penalolén,Diagonal Las Torres 2700,-3.349.013,-7.051.898,44,Conector Tipo 2,AC,22
Universidad de Los Andes - 1,Metropolitana,Las Condes,San Carlos de Apoquindo 2300,-3.340.417,-7.050.836,44,Conector Tipo 2,AC,22
Universidad de Los Andes - 1,Metropolitana,Las Condes,San Carlos de Apoquindo 2300,-3.340.417,-7.050.836,44,Conector Tipo 2,AC,22
SAVE LIDER IRARRAZAVAL - 1,Metropolitana,Nunoa,Avenida Irarrázaval 2928,-3.345.432,-7.060.044,24,CHAdeMO,DC,24
SAVE LIDER IRARRAZAVAL - 1,Metropolitana,Nunoa,Avenida Irarrázaval 2928,-3.345.432,-7.060.044,24,Combinado Tipo 2,DC,24
SAVE SUPERM.LIDER BUENAVENTURA WALMART-COLBUN - 1,Metropolitana,Vitacura,BUENAVENTURA 1770,-3.338.677,-7.056.821,24,Combinado Tipo 2,DC,24
SAVE SUPERM.LIDER BUENAVENTURA WALMART-COLBUN - 1,Metropolitana,Vitacura,BUENAVENTURA 1770,-3.338.677,-7.056.821,24,CHAdeMO,DC,24
SAVE SUPERM.LIDER PRINCIPE DE GALES WALMART-COLBUN - 1,Metropolitana,La Reina,Príncipe de Gales 9140,-3.344.127,-7.053.553,24,Combinado Tipo 2,DC,24
SAVE SUPERM.LIDER PRINCIPE DE GALES WALMART-COLBUN - 1,Metropolitana,La Reina,Príncipe de Gales 9140,-3.344.127,-7.053.553,24,CHAdeMO,DC,24
SAVE supermercado Lider Pie Andino - 1,Metropolitana,Lo Barnechea,paseo pie andino 5885,-3.332.395,-7.053.919,22,Combinado Tipo 2,DC,22
SAVE supermercado Lider Pie Andino - 1,Metropolitana,Lo Barnechea,paseo pie andino 5885,-3.332.395,-7.053.919,22,CHAdeMO,DC,22
